"","gutenberg_id","palabra"
"990",1661,"by"
"991",1661,"six"
"992",1661,"almost"
"993",1661,"parallel"
"994",1661,"cuts"
"995",1661,"obviously"
"996",1661,"they"
"997",1661,"have"
"998",1661,"been"
"999",1661,"caused"
"1000",1661,"by"
"1001",1661,"someone"
"1002",1661,"who"
"1003",1661,"has"
"1004",1661,"very"
"1005",1661,"carelessly"
"1006",1661,"scraped"
"1007",1661,"round"
"1008",1661,"the"
"1009",1661,"edges"
"1010",1661,"of"
"1011",1661,"the"
"1012",1661,"sole"
"1013",1661,"in"
"1014",1661,"order"
"1015",1661,"to"
"1016",1661,"remove"
"1017",1661,"crusted"
"1018",1661,"mud"
"1019",1661,"from"
"1020",1661,"it"
"1021",1661,"hence"
"1022",1661,"you"
"1023",1661,"see"
"1024",1661,"my"
"1025",1661,"double"
"1026",1661,"deduction"
"1027",1661,"that"
"1028",1661,"you"
"1029",1661,"had"
"1030",1661,"been"
"1031",1661,"out"
"1032",1661,"in"
"1033",1661,"vile"
"1034",1661,"weather"
"1035",1661,"and"
"1036",1661,"that"
"1037",1661,"you"
"1038",1661,"had"
"1039",1661,"a"
"1040",1661,"particularly"
"1041",1661,"malignant"
"1042",1661,"boot"
"1043",1661,"slitting"
"1044",1661,"specimen"
"1045",1661,"of"
"1046",1661,"the"
"1047",1661,"london"
"1048",1661,"slavey"
"1049",1661,"as"
"1050",1661,"to"
"1051",1661,"your"
"1052",1661,"practice"
"1053",1661,"if"
"1054",1661,"a"
"1055",1661,"gentleman"
"1056",1661,"walks"
"1057",1661,"into"
"1058",1661,"my"
"1059",1661,"rooms"
"1060",1661,"smelling"
"1061",1661,"of"
"1062",1661,"iodoform"
"1063",1661,"with"
"1064",1661,"a"
"1065",1661,"black"
"1066",1661,"mark"
"1067",1661,"of"
"1068",1661,"nitrate"
"1069",1661,"of"
"1070",1661,"silver"
"1071",1661,"upon"
"1072",1661,"his"
"1073",1661,"right"
"1074",1661,"forefinger"
"1075",1661,"and"
"1076",1661,"a"
"1077",1661,"bulge"
"1078",1661,"on"
"1079",1661,"the"
"1080",1661,"right"
"1081",1661,"side"
"1082",1661,"of"
"1083",1661,"his"
"1084",1661,"top"
"1085",1661,"hat"
"1086",1661,"to"
"1087",1661,"show"
"1088",1661,"where"
"1089",1661,"he"
"1090",1661,"has"
"1091",1661,"secreted"
"1092",1661,"his"
"1093",1661,"stethoscope"
"1094",1661,"i"
"1095",1661,"must"
"1096",1661,"be"
"1097",1661,"dull"
"1098",1661,"indeed"
"1099",1661,"if"
"1100",1661,"i"
"1101",1661,"do"
"1102",1661,"not"
"1103",1661,"pronounce"
"1104",1661,"him"
"1105",1661,"to"
"1106",1661,"be"
"1107",1661,"an"
"1108",1661,"active"
"1109",1661,"member"
"1110",1661,"of"
"1111",1661,"the"
"1112",1661,"medical"
"1113",1661,"profession"
"1114",1661,"i"
"1115",1661,"could"
"1116",1661,"not"
"1117",1661,"help"
"1118",1661,"laughing"
"1119",1661,"at"
"1120",1661,"the"
"1121",1661,"ease"
"1122",1661,"with"
"1123",1661,"which"
"1124",1661,"he"
"1125",1661,"explained"
"1126",1661,"his"
"1127",1661,"process"
"1128",1661,"of"
"1129",1661,"deduction"
"1130",1661,"when"
"1131",1661,"i"
"1132",1661,"hear"
"1133",1661,"you"
"1134",1661,"give"
"1135",1661,"your"
"1136",1661,"reasons"
"1137",1661,"i"
"1138",1661,"remarked"
"1139",1661,"the"
"1140",1661,"thing"
"1141",1661,"always"
"1142",1661,"appears"
"1143",1661,"to"
"1144",1661,"me"
"1145",1661,"to"
"1146",1661,"be"
"1147",1661,"so"
"1148",1661,"ridiculously"
"1149",1661,"simple"
"1150",1661,"that"
"1151",1661,"i"
"1152",1661,"could"
"1153",1661,"easily"
"1154",1661,"do"
"1155",1661,"it"
"1156",1661,"myself"
"1157",1661,"though"
"1158",1661,"at"
"1159",1661,"each"
"1160",1661,"successive"
"1161",1661,"instance"
"1162",1661,"of"
"1163",1661,"your"
"1164",1661,"reasoning"
"1165",1661,"i"
"1166",1661,"am"
"1167",1661,"baffled"
"1168",1661,"until"
"1169",1661,"you"
"1170",1661,"explain"
"1171",1661,"your"
"1172",1661,"process"
"1173",1661,"and"
"1174",1661,"yet"
"1175",1661,"i"
"1176",1661,"believe"
"1177",1661,"that"
"1178",1661,"my"
"1179",1661,"eyes"
"1180",1661,"are"
"1181",1661,"as"
"1182",1661,"good"
"1183",1661,"as"
"1184",1661,"yours"
"1185",1661,"quite"
"1186",1661,"so"
"1187",1661,"he"
"1188",1661,"answered"
"1189",1661,"lighting"
"1190",1661,"a"
"1191",1661,"cigarette"
"1192",1661,"and"
"1193",1661,"throwing"
"1194",1661,"himself"
"1195",1661,"down"
"1196",1661,"into"
"1197",1661,"an"
"1198",1661,"armchair"
"1199",1661,"you"
"1200",1661,"see"
"1201",1661,"but"
"1202",1661,"you"
"1203",1661,"do"
"1204",1661,"not"
"1205",1661,"observe"
"1206",1661,"the"
"1207",1661,"distinction"
"1208",1661,"is"
"1209",1661,"clear"
"1210",1661,"for"
"1211",1661,"example"
"1212",1661,"you"
"1213",1661,"have"
"1214",1661,"frequently"
"1215",1661,"seen"
"1216",1661,"the"
"1217",1661,"steps"
"1218",1661,"which"
"1219",1661,"lead"
"1220",1661,"up"
"1221",1661,"from"
"1222",1661,"the"
"1223",1661,"hall"
"1224",1661,"to"
"1225",1661,"this"
"1226",1661,"room"
"1227",1661,"frequently"
"1228",1661,"how"
"1229",1661,"often"
"1230",1661,"well"
"1231",1661,"some"
"1232",1661,"hundreds"
"1233",1661,"of"
"1234",1661,"times"
"1235",1661,"then"
"1236",1661,"how"
"1237",1661,"many"
"1238",1661,"are"
"1239",1661,"there"
"1240",1661,"how"
"1241",1661,"many"
"1242",1661,"i"
"1243",1661,"don't"
"1244",1661,"know"
"1245",1661,"quite"
